"state","age","sex","race",counts
"GA","18-24","U","Na-Am",1
"GA","18-24","U","Unk",8
"GA","25-34","F","Black",104678
"GA","25-34","F","Asian",3733
"GA","25-34","F","White",47024
"GA","25-34","F","Latino",6292
"GA","25-34","F","Na-Am",332
"GA","25-34","F","Unk",6060
"GA","25-34","M","Black",77233
"GA","25-34","M","Asian",2810
"GA","25-34","M","White",33044
"GA","25-34","M","Latino",4203
"GA","25-34","M","Na-Am",336
"GA","25-34","M","Unk",4155
"GA","25-34","U","Black",72
"GA","25-34","U","Asian",11
"GA","25-34","U","White",11
"GA","25-34","U","Latino",1
"GA","25-34","U","Unk",8
"GA","35-49","F","Black",173556
"GA","35-49","F","Asian",4963
"GA","35-49","F","White",58443
"GA","35-49","F","Latino",6095
"GA","35-49","F","Na-Am",398
"GA","35-49","F","Unk",6987
"GA","35-49","M","Black",106857
"GA","35-49","M","Asian",3222
"GA","35-49","M","White",37751
"GA","35-49","M","Latino",3424
"GA","35-49","M","Na-Am",312
"GA","35-49","M","Unk",3971
"GA","35-49","U","Black",48
"GA","35-49","U","Asian",4
"GA","35-49","U","White",13
"GA","35-49","U","Latino",1
"GA","35-49","U","Unk",3
"GA","50-64","F","Black",179003
"GA","50-64","F","Asian",3881
"GA","50-64","F","White",63659
"GA","50-64","F","Latino",4254
"GA","50-64","F","Na-Am",348
"GA","50-64","F","Unk",4657
"GA","50-64","M","Black",119978
"GA","50-64","M","Asian",2915
"GA","50-64","M","White",41879
"GA","50-64","M","Latino",3281
"GA","50-64","M","Na-Am",251
"GA","50-64","M","Unk",2895
"GA","50-64","U","Black",32
"GA","50-64","U","Asian",9
"GA","50-64","U","White",8
"GA","50-64","U","Latino",1
"GA","50-64","U","Na-Am",1
"GA","50-64","U","Unk",1
"GA","65+","F","Black",122249
"GA","65+","F","Asian",2483
"GA","65+","F","White",65949
"GA","65+","F","Latino",1688
"GA","65+","F","Na-Am",174
"GA","65+","F","Unk",2327
"GA","65+","M","Black",73690
"GA","65+","M","Asian",2037
"GA","65+","M","White",40282
"GA","65+","M","Latino",1345
"GA","65+","M","Na-Am",105
"GA","65+","M","Unk",1421
"GA","65+","U","Black",17
"GA","65+","U","Asian",3
"GA","65+","U","White",2
"GA","65+","U","Latino",1
"GA","65+","U","Unk",5
"GA","Unk","F","Black",2101
"GA","Unk","F","Asian",109
"GA","Unk","F","White",389
"GA","Unk","F","Latino",261
"GA","Unk","F","Na-Am",9
"GA","Unk","F","Unk",166
"GA","Unk","M","Black",1843
"GA","Unk","M","Asian",69
"GA","Unk","M","White",277
"GA","Unk","M","Latino",212
"GA","Unk","M","Na-Am",8
"GA","Unk","M","Unk",114
"GA","Unk","U","Black",16
"GA","Unk","U","Latino",2
"GA","Unk","U","Unk",1
"IA","18-24","F","Black",814
"IA","18-24","F","Asian",313
"IA","18-24","F","White",39450
"IA","18-24","F","Latino",1729
"IA","18-24","F","Na-Am",38
"IA","18-24","F","Unk",2731
"IA","18-24","M","Black",654
"IA","18-24","M","Asian",291
"IA","18-24","M","White",28895
"IA","18-24","M","Latino",1457
"IA","18-24","M","Na-Am",31
"IA","18-24","M","Unk",2049
"IA","25-34","F","Black",1494
"IA","25-34","F","Asian",366
"IA","25-34","F","White",62619
"IA","25-34","F","Latino",2085
"IA","25-34","F","Na-Am",66
"IA","25-34","F","Unk",3467
"IA","25-34","M","Black",923
"IA","25-34","M","Asian",289
"IA","25-34","M","White",44385
"IA","25-34","M","Latino",1497
"IA","25-34","M","Na-Am",50
"IA","25-34","M","Unk",2287
"IA","35-49","F","Black",1581
"IA","35-49","F","Asian",443
"IA","35-49","F","White",76116
"IA","35-49","F","Latino",1848
"IA","35-49","F","Na-Am",61
"IA","35-49","F","Unk",3404
"IA","35-49","M","Black",993
"IA","35-49","M","Asian",331
"IA","35-49","M","White",52131
"IA","35-49","M","Latino",1177
"IA","35-49","M","Na-Am",52
"IA","35-49","M","Unk",2091
"IA","50-64","F","Black",1319
"IA","50-64","F","Asian",410
"IA","50-64","F","White",81038
"IA","50-64","F","Latino",1152
"IA","50-64","F","Na-Am",58
"IA","50-64","F","Unk",2085
"IA","50-64","M","Black",959
"IA","50-64","M","Asian",334
"IA","50-64","M","White",54225
"IA","50-64","M","Latino",1213
"IA","50-64","M","Na-Am",55
"IA","50-64","M","Unk",1486
"IA","65+","F","Black",895
"IA","65+","F","Asian",265
"IA","65+","F","White",88279
"IA","65+","F","Latino",458
"IA","65+","F","Na-Am",40
"IA","65+","F","Unk",1184
"IA","65+","M","Black",566
"IA","65+","M","Asian",195
"IA","65+","M","White",57686
"IA","65+","M","Latino",520
"IA","65+","M","Na-Am",32
"IA","65+","M","Unk",836
"IA","Unk","F","Black",57
"IA","Unk","F","Asian",34
"IA","Unk","F","White",3302
"IA","Unk","F","Latino",139
"IA","Unk","F","Na-Am",2
"IA","Unk","F","Unk",187
"IA","Unk","M","Black",42
"IA","Unk","M","Asian",33
"IA","Unk","M","White",2287
"IA","Unk","M","Latino",110
"IA","Unk","M","Na-Am",2
"IA","Unk","M","Unk",148
"KS","18-24","F","Black",1389
"KS","18-24","F","Asian",279
"KS","18-24","F","White",17648
"KS","18-24","F","Latino",2839
"KS","18-24","F","Na-Am",44
"KS","18-24","F","Unk",1807
"KS","18-24","M","Black",1119
"KS","18-24","M","Asian",211
"KS","18-24","M","White",12180
"KS","18-24","M","Latino",2005
"KS","18-24","M","Na-Am",25
"KS","18-24","M","Unk",1190
"KS","18-24","U","Black",45
"KS","18-24","U","Asian",6
"KS","18-24","U","White",181
"KS","18-24","U","Latino",29
"KS","18-24","U","Unk",26
"KS","25-34","F","Black",2439
"KS","25-34","F","Asian",240
"KS","25-34","F","White",24814
"KS","25-34","F","Latino",2606
"KS","25-34","F","Na-Am",36
"KS","25-34","F","Unk",1905
"KS","25-34","M","Black",1657
"KS","25-34","M","Asian",185
"KS","25-34","M","White",18118
"KS","25-34","M","Latino",1707
"KS","25-34","M","Na-Am",32
"KS","25-34","M","Unk",1283
"KS","25-34","U","Black",8
"KS","25-34","U","Asian",2
"KS","25-34","U","White",34
"KS","25-34","U","Latino",4
"KS","25-34","U","Unk",13
"KS","35-49","F","Black",3452
"KS","35-49","F","Asian",397
"KS","35-49","F","White",34904
"KS","35-49","F","Latino",2756
"KS","35-49","F","Na-Am",56
"KS","35-49","F","Unk",2328
"KS","35-49","M","Black",2016
"KS","35-49","M","Asian",249
"KS","35-49","M","White",23002
"KS","35-49","M","Latino",1803
"KS","35-49","M","Na-Am",32
"KS","35-49","M","Unk",1451
"KS","35-49","U","Black",8
"KS","35-49","U","Asian",3
"KS","35-49","U","White",14
"KS","35-49","U","Latino",3
"KS","35-49","U","Unk",12
"KS","50-64","F","Black",3789
"KS","50-64","F","Asian",339
"KS","50-64","F","White",42013
"KS","50-64","F","Latino",2165
"KS","50-64","F","Na-Am",61
"KS","50-64","F","Unk",1763
"KS","50-64","M","Black",2550
"KS","50-64","M","Asian",261
"KS","50-64","M","White",27618
"KS","50-64","M","Latino",1965
"KS","50-64","M","Na-Am",44
"KS","50-64","M","Unk",1309
"KS","50-64","U","Black",2
"KS","50-64","U","Asian",1
"KS","50-64","U","White",5
"KS","50-64","U","Unk",1
"KS","65+","F","Black",3229
"KS","65+","F","Asian",167
"KS","65+","F","White",48447
"KS","65+","F","Latino",1421
"KS","65+","F","Na-Am",56
"KS","65+","F","Unk",1252
"KS","65+","M","Black",1876
"KS","65+","M","Asian",159
"KS","65+","M","White",30991
"KS","65+","M","Latino",1253
"KS","65+","M","Na-Am",22
"KS","65+","M","Unk",981
"KS","65+","U","Black",1
"KS","65+","U","White",2
"KS","65+","U","Unk",1
"KS","Unk","F","Black",68
"KS","Unk","F","Asian",28
"KS","Unk","F","White",1277
"KS","Unk","F","Latino",198
"KS","Unk","F","Na-Am",2
"KS","Unk","F","Unk",104
"KS","Unk","M","Black",54
"KS","Unk","M","Asian",16
"KS","Unk","M","White",659
"KS","Unk","M","Latino",121
"KS","Unk","M","Na-Am",1
"KS","Unk","M","Unk",71
"KS","Unk","U","Black",11
"KS","Unk","U","White",30
"KS","Unk","U","Latino",12
"KS","Unk","U","Unk",6
"KY","18-24","F","Black",1411
"KY","18-24","F","Asian",86
"KY","18-24","F","White",12753
"KY","18-24","F","Latino",107
"KY","18-24","F","Na-Am",1
"KY","18-24","F","Unk",521
"KY","18-24","M","Black",1170
"KY","18-24","M","Asian",69
"KY","18-24","M","White",9254
"KY","18-24","M","Latino",92
"KY","18-24","M","Na-Am",1
"KY","18-24","M","Unk",425
"KY","18-24","U","Black",2
"KY","18-24","U","Asian",1
"KY","18-24","U","White",3
"KY","25-34","F","Black",3767
"KY","25-34","F","Asian",76
"KY","25-34","F","White",26168
"KY","25-34","F","Latino",173
"KY","25-34","F","Na-Am",5
"KY","25-34","F","Unk",855
"KY","25-34","M","Black",2749
"KY","25-34","M","Asian",109
"KY","25-34","M","White",21851
"KY","25-34","M","Latino",108
"KY","25-34","M","Na-Am",1
"KY","25-34","M","Unk",603
"KY","25-34","U","Black",1
"KY","35-49","F","Black",6571
"KY","35-49","F","Asian",165
"KY","35-49","F","White",51621
"KY","35-49","F","Latino",253
"KY","35-49","F","Na-Am",6
"KY","35-49","F","Unk",1446
"KY","35-49","M","Black",3873
"KY","35-49","M","Asian",131
"KY","35-49","M","White",36759
"KY","35-49","M","Latino",160
"KY","35-49","M","Na-Am",9
"KY","35-49","M","Unk",907
"KY","35-49","U","Black",1
"KY","50-64","F","Black",7777
"KY","50-64","F","Asian",154
"KY","50-64","F","White",70934
"KY","50-64","F","Latino",167
"KY","50-64","F","Na-Am",10
"KY","50-64","F","Unk",1181
"KY","50-64","M","Black",4911
"KY","50-64","M","Asian",169
"KY","50-64","M","White",47789
"KY","50-64","M","Latino",132
"KY","50-64","M","Na-Am",9
"KY","50-64","M","Unk",796
"KY","65+","F","Black",7766
"KY","65+","F","Asian",84
"KY","65+","F","White",90892
"KY","65+","F","Latino",79
"KY","65+","F","Na-Am",6
"KY","65+","F","Unk",810
"KY","65+","M","Black",4049
"KY","65+","M","Asian",85
"KY","65+","M","White",56647
"KY","65+","M","Latino",51
"KY","65+","M","Na-Am",8
"KY","65+","M","Unk",475
"KY","65+","U","Black",2
"KY","65+","U","White",1
"KY","Unk","F","Black",92
"KY","Unk","F","Asian",14
"KY","Unk","F","White",1256
"KY","Unk","F","Latino",8
"KY","Unk","F","Unk",43
"KY","Unk","M","Black",78
"KY","Unk","M","Asian",7
"KY","Unk","M","White",679
"KY","Unk","M","Latino",5
"KY","Unk","M","Unk",32
"KY","Unk","U","White",7
"KY","Unk","U","Unk",1
"MI","18-24","F","Black",25342
"MI","18-24","F","Asian",2259
"MI","18-24","F","White",76537
"MI","18-24","F","Latino",3577
"MI","18-24","F","Na-Am",113
"MI","18-24","F","Unk",5548
"MI","18-24","M","Black",21726
"MI","18-24","M","Asian",1870
"MI","18-24","M","White",47829
"MI","18-24","M","Latino",2975
"MI","18-24","M","Na-Am",78
"MI","18-24","M","Unk",4106
"MI","18-24","U","Black",68
"MI","18-24","U","Asian",26
"MI","18-24","U","White",161
"MI","18-24","U","Latino",12
"MI","18-24","U","Unk",23
"MI","25-34","F","Black",63581
"MI","25-34","F","Asian",2961
"MI","25-34","F","White",179781
"MI","25-34","F","Latino",5292
"MI","25-34","F","Na-Am",231
